valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,testResult,testResult_type,value,pop,incValue,prct,inc14d,trend,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2020-W13,iso_week,UR,canton,all,agegroup_ili_ari,all,positive,all,32,36819,86.91,0.4,138.52,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,VD,canton,all,agegroup_ili_ari,all,positive,all,1439,814762,176.62,19.6,353.35,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,VS,canton,all,agegroup_ili_ari,all,positive,all,513,348503,147.2,7,265.42,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,ZG,canton,all,agegroup_ili_ari,all,positive,all,38,128794,29.5,0.5,54.35,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,ZH,canton,all,agegroup_ili_ari,all,positive,all,811,1553423,52.21,11,103.58,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,unknown,canton,all,agegroup_ili_ari,all,positive,all,0,NA,NA,0,NA,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,CH,country,all,agegroup_ili_ari,all,positive,all,7345,8670300,84.71,99.8,160.35,rising,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,CHFL,CHFL,all,agegroup_ili_ari,all,positive,all,7362,8709355,84.53,100,160.22,rising,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,AG,canton,all,agegroup_ili_ari,all,positive,all,246,694072,35.44,4.1,74.63,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,AI,canton,all,agegroup_ili_ari,all,positive,all,7,16293,42.96,0.1,79.79,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,AR,canton,all,agegroup_ili_ari,all,positive,all,16,55309,28.93,0.3,65.09,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,BE,canton,all,agegroup_ili_ari,all,positive,all,351,1043132,33.65,5.8,67.49,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,BL,canton,all,agegroup_ili_ari,all,positive,all,150,290969,51.55,2.5,134.03,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,BS,canton,all,agegroup_ili_ari,all,positive,all,184,196735,93.53,3.1,234.83,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,FL,country,all,agegroup_ili_ari,all,positive,all,13,39055,33.29,0.2,76.81,rising,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,FR,canton,all,agegroup_ili_ari,all,positive,all,258,325496,79.26,4.3,153.3,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,GE,canton,all,agegroup_ili_ari,all,positive,all,1442,506343,284.79,23.9,514.47,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,GL,canton,all,agegroup_ili_ari,all,positive,all,9,40851,22.03,0.1,73.44,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,GR,canton,all,agegroup_ili_ari,all,positive,all,136,200096,67.97,2.3,171.42,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,JU,canton,all,agegroup_ili_ari,all,positive,all,51,73709,69.19,0.8,169.59,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,LU,canton,all,agegroup_ili_ari,all,positive,all,128,416347,30.74,2.1,73.5,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,NE,canton,all,agegroup_ili_ari,all,positive,all,104,175894,59.13,1.7,144.41,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,NW,canton,all,agegroup_ili_ari,all,positive,all,18,43520,41.36,0.3,110.29,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,OW,canton,all,agegroup_ili_ari,all,positive,all,14,38108,36.74,0.2,73.48,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,SG,canton,all,agegroup_ili_ari,all,positive,all,165,514504,32.07,2.7,67.83,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,SH,canton,all,agegroup_ili_ari,all,positive,all,7,83107,8.42,0.1,21.66,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,SO,canton,all,agegroup_ili_ari,all,positive,all,63,277462,22.71,1,56.58,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,SZ,canton,all,agegroup_ili_ari,all,positive,all,51,162157,31.45,0.8,59.2,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,TG,canton,all,agegroup_ili_ari,all,positive,all,77,282909,27.22,1.3,50.19,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,TI,canton,all,agegroup_ili_ari,all,positive,all,496,350986,141.32,8.2,388.05,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,UR,canton,all,agegroup_ili_ari,all,positive,all,13,36819,35.31,0.2,122.22,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,VD,canton,all,agegroup_ili_ari,all,positive,all,915,814762,112.3,15.2,288.92,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,VS,canton,all,agegroup_ili_ari,all,positive,all,367,348503,105.31,6.1,252.51,NA,NA,NA,NA,NA,TRUE
cases,2020-W14,iso_week,ZG,canton,all,agegroup_ili_ari,all,positive,all,41,128794,31.83,0.7,61.34,NA,NA,NA,NA,NA,TRUE
